rel_income,perc_025,perc_05,perc_25,perc_50,perc_75,perc_95,perc_975,perc_mean,perc_std,perc_upper_std,perc_lower_std
22.9,0.75,0.8,0.8,0.8,0.8,1.0,1.0,0.8310606060606052,0.07684407364925186,0.9847487533591088,0.6773724587621015
22.1,0.8,0.8,0.8,1.0,1.0,1.0,1.0,0.9153846153846157,0.10076629473115577,1.1169172048469271,0.7138520259223041
21.7,0.8,0.8,0.8,0.9,1.0,1.0,1.0,0.9000000000000002,0.10377490433255414,1.1075498086651085,0.6924501913348919
21.6,0.635,0.77,0.8,1.0,1.0,1.0,1.0,0.8894736842105266,0.1370106923731188,1.1634950689567642,0.615452299464289
21.5,0.6125,0.7250000000000001,0.8,1.0,1.0,1.0,1.0,0.8937500000000003,0.14361406616345074,1.1809781323269017,0.6065218676730988
23.0,0.8,0.8,0.8,0.8,0.8,1.0,1.0,0.8404761904761885,0.08190586931698729,1.0042879291101632,0.6766644518422139
25.0,0.75,0.75,0.75,0.75,1.0,1.0,1.0,0.8392857142857143,0.12087344460380695,1.0810326034933282,0.5975388250781004
24.0,0.75,0.75,0.8,1.0,1.0,1.0,1.0,0.9361111111111106,0.10019634811758674,1.136503807346284,0.735718414875937
22.2,0.8,0.8,0.8,0.8,0.8500000000000001,1.0,1.0,0.8500000000000005,0.087988269012812,1.0259765380256245,0.6740234619743766
20.6,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.6666666666666666,0.25,1.1666666666666665,0.16666666666666663
23.2,0.75,0.75,0.8,0.8,0.8,1.0,1.0,0.8409090909090909,0.08844439014426819,1.0177978711976272,0.6640203106205546
21.1,0.5825,0.665,0.95,1.0,1.0,1.0,1.0,0.9250000000000002,0.15447859516333115,1.2339571903266624,0.6160428096733379
21.4,0.8,0.8,0.8,0.9,1.0,1.0,1.0,0.9,0.10540925533894596,1.110818510677892,0.6891814893221081
20.7,0.5,0.5,0.5,0.8,1.0,1.0,1.0,0.7363636363636363,0.23779288161224366,1.2119493995881236,0.260777873139149
20.4,0.5,0.5,0.5,0.5,0.9,1.0,1.0,0.6533333333333334,0.22949219304078008,1.1123177194148937,0.19434894725177326
20.8,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.7083333333333334,0.25746432527221863,1.2232619838777707,0.1934046827888961
20.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.6900000000000001,0.24257391711220294,1.175147834224406,0.20485216577559417
20.9,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.8111111111111111,0.24209731743889915,1.2953057459889095,0.3269164762333128
23.9,0.75,0.765,1.0,1.0,1.0,1.0,1.0,0.958510638297872,0.08680259271333796,1.1321158237245479,0.7849054528711961
26.1,0.75,0.75,0.75,0.75,0.8125,1.0,1.0,0.8125,0.10950469884789164,1.0315093976957832,0.5934906023042167
27.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN
25.1,0.75,0.75,0.75,0.75,1.0,1.0,1.0,0.84,0.12247448713915891,1.0849489742783178,0.5950510257216821
26.2,0.75,0.75,0.75,0.75,0.75,0.875,1.0,0.7661290322580645,0.06243275952867684,0.8909945513154182,0.6412635132007108
27.0,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.8088235294117647,0.10930932902440077,1.0274421874605664,0.5902048713629632
26.9,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.7941176470588235,0.09823815599917193,0.9905939590571673,0.5976413350604797
28.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN
28.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN
31.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN
31.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
31.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN
24.5,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.890909090909091,0.12309149097933275,1.1370920728677565,0.6447261089504255
25.2,0.75,0.75,0.75,0.75,1.0,1.0,1.0,0.8189655172413793,0.11371470653683549,1.0463949303150504,0.5915361041677083
23.1,0.75,0.775,0.8,0.8,0.8,1.0,1.0,0.8290322580645165,0.0772163557246639,0.9834649695138443,0.6745995466151887
23.4,0.78625,0.8,0.8,0.8,1.0,1.0,1.0,0.8650000000000004,0.09751215662498276,1.060024313249966,0.6699756867500349
24.3,0.76375,0.7775000000000001,0.95,1.0,1.0,1.0,1.0,0.9458333333333334,0.09876126709792597,1.1433558675291853,0.7483107991374814
24.2,0.8,0.8,0.8500000000000001,1.0,1.0,1.0,1.0,0.9461538461538463,0.09046886417224094,1.1270915744983283,0.7652161178093645
24.1,0.75,0.7725000000000001,1.0,1.0,1.0,1.0,1.0,0.9500000000000001,0.09284766908852593,1.1356953381770518,0.7643046618229482
24.7,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.8900000000000001,0.12276574673510755,1.1355314934702152,0.644468506529785
22.8,0.8,0.8,0.8,0.8,0.8,1.0,1.0,0.813690476190475,0.05226853189325798,0.9182275399769909,0.709153412403959
23.5,0.7675000000000001,0.785,0.8,0.8,0.9,1.0,1.0,0.8500000000000002,0.0944911182523068,1.0389822365046137,0.6610177634953867
23.6,0.8,0.8,0.8,1.0,1.0,1.0,1.0,0.9103448275862072,0.10122403577569512,1.1127928991375975,0.7078967560348169
26.4,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.7720588235294118,0.07197556032030906,0.9160099441700299,0.6281077028887937
28.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
27.2,0.75,0.75,0.75,0.875,1.0,1.0,1.0,0.875,0.1336306209562122,1.1422612419124243,0.6077387580875756
25.8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.7530487804878049,0.027607881518711623,0.8082645435252281,0.6978330174503816
23.7,0.79125,0.8,0.8,1.0,1.0,1.0,1.0,0.9102941176470591,0.10282333463843484,1.1159407869239288,0.7046474483701894
21.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0,0.9047619047619051,0.10235326314383177,1.1094684310495686,0.7000553784742416
21.2,0.5525,0.605,0.8,1.0,1.0,1.0,1.0,0.8875,0.1807721533549109,1.2490443067098218,0.5259556932901781
23.3,0.7887500000000001,0.8,0.8,0.8,0.8,1.0,1.0,0.8421875000000005,0.08529774701105118,1.012782994022103,0.6715920059778981
20.3,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.6923076923076923,0.2531848417709167,1.1986773758495257,0.18593800876585886
19.7,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5833333333333334,0.19034674690672018,0.9640268271467738,0.202639839519893
19.9,0.5,0.5,0.5,0.5,0.625,1.0,1.0,0.625,0.22213082915965965,1.0692616583193193,0.1807383416806807
22.5,0.8,0.8,0.8,0.8,0.8,0.9999999999999986,1.0,0.8122950819672125,0.050543494227676414,0.9133820704225653,0.7112080935118597
23.8,0.75,0.7575000000000001,0.8,1.0,1.0,1.0,1.0,0.9208333333333335,0.10520855754029773,1.131250448413929,0.710416218252738
28.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
25.7,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.76953125,0.06762242718751049,0.904776104375021,0.634286395624979
